361,3,1,1588,5,-1,389,2,8,1098,7,4,652,11,-1,447,10,5,1180,1,-1,128,11,-1,281,11,4,1578,3,-1,121,7,2,1341,9,-1,1993,2,5,1492,9,0,1206,3,-1,947,1,-1,1857,3,8,1449,2,8,1612,7,4,1528,9,-1,354,11,-1,408,5,-1,1385,1,-1,727,7,5,1608,7,-1,1922,11,-1,337,1,-1,828,11,9,1570,7,-1,1756,7,7,654,1,-1,1323,5,2,1541,0,-1,1288,5,-1,1379,1,-1,758,7,4,1956,2,-1,1672,6,-1,715,6,1,756,3,-1,178,2,-1,55,2,-1,729,6,-1,1012,1,5,1499,8,9,792,8,6,1120,7,-1,1503,8,-1,4,5,3,989,2,7,1846,3,6,348,3,-1,276,4,8,331,6,-1,82,10,-1,1743,4,3,730,8,6,117,6,3,1287,8,-1,1175,4,-1,193,8,-1,908,7,-1,289,2,1,310,7,1,1098,9,7,1536,11,9,176,4,5,812,10,3,1596,7,-1,283,4,0,362,4,-1,499,4,-1,1393,7,-1,1928,9,4,777,6,-1,357,8,9,1852,4,-1,395,1,-1,1023,7,1,275,0,3,317,3,9,1148,10,-1,119,5,-1,649,0,5,1612,8,4,28,6,-1,91,1,7,287,6,1,1086,4,-1,642,5,-1,1727,3,9,371,3,0,373,7,5,1819,2,6,316,6,3,101,8,-1,590,9,-1,1641,1,-1,1919,5,-1,995,6,3,7,
989,10,-1,1588,5,-1,1116,11,1,1004,9,-1,1591,6,1,447,10,5,23,5,6,128,11,-1,1078,4,-1,1749,7,-1,640,7,2,1852,8,4,1993,2,5,412,3,-1,644,5,6,153,10,9,1190,10,4,1565,8,-1,601,1,2,1483,6,9,317,6,-1,1054,6,3,350,5,-1,1965,6,-1,1608,7,-1,268,11,-1,425,3,-1,828,11,9,131,3,-1,1756,7,7,301,9,-1,1148,2,6,480,1,2,1288,5,-1,935,0,-1,758,7,4,1272,4,-1,890,0,-1,1208,1,-1,1349,9,9,865,4,-1,1758,0,2,1707,7,-1,252,9,-1,1709,0,-1,792,8,6,1120,7,-1,926,11,-1,1154,0,2,785,0,-1,473,3,-1,473,0,4,276,4,8,812,0,-1,1771,7,-1,179,3,-1,266,9,-1,1695,6,-1,1671,9,8,1585,10,-1,536,2,-1,908,7,-1,938,10,5,1037,1,-1,1142,9,-1,105,7,1,1607,2,7,812,10,3,1333,9,4,283,4,0,1160,0,-1,499,4,-1,659,1,-1,1167,4,-1,1937,0,-1,1457,11,-1,965,11,-1,1801,8,-1,49,7,2,275,0,3,516,6,1,1148,10,-1,1577,1,-1,649,0,5,761,4,-1,1526,10,3,91,1,7,287,6,1,424,5,-1,1379,7,0,1571,4,4,371,3,0,1169,0,7,1819,2,6,1112,3,-1,1844,2,-1,1222,4,-1,1641,1,-1,1919,5,-1,1048,7,4,7,
1366,9,4,1336,1,6,1116,11,1,499,4,0,1188,5,-1,1058,3,4,737,6,-1,1413,5,-1,1078,4,-1,1578,3,-1,121,7,2,1966,1,4,1212,8,0,939,8,0,644,5,6,153,10,9,1190,10,4,74,1,7,1069,11,-1,878,10,-1,1127,8,-1,1609,5,-1,1568,8,6,1151,0,-1,1128,8,9,338,3,7,425,3,-1,828,11,9,131,3,-1,1618,0,3,1649,10,0,1323,5,2,1897,9,7,1288,5,-1,1816,11,2,1118,5,7,803,7,-1,890,0,-1,454,6,0,1321,9,1,1485,5,9,917,2,9,752,0,-1,1012,1,5,1499,8,9,1510,2,3,1723,8,7,422,4,-1,1628,5,9,1240,3,5,473,3,-1,224,3,-1,276,4,8,331,6,-1,1851,6,8,1897,5,8,839,2,-1,1695,6,-1,1251,5,1,1175,4,-1,536,2,-1,75,1,9,670,7,9,561,10,-1,798,4,5,1327,11,1,17,4,1,1123,1,6,1814,10,8,1598,9,7,1160,0,-1,407,7,-1,659,1,-1,1837,4,-1,1721,11,-1,1186,10,-1,1783,3,-1,1801,8,-1,49,7,2,275,0,3,516,6,1,1815,2,5,1042,9,0,1474,3,-1,915,8,3,760,4,-1,91,1,7,937,11,4,67,8,5,1379,7,0,1571,4,4,1271,2,-1,1169,0,7,1819,2,6,1112,3,-1,1844,2,-1,997,5,-1,1641,1,-1,1605,3,-1,479,9,-1,7,
989,10,-1,1588,5,-1,1116,11,1,1098,7,4,1188,5,-1,447,10,5,737,6,-1,128,11,-1,1078,4,-1,1578,3,-1,1607,7,8,1146,4,5,1993,2,5,939,8,0,302,10,-1,153,10,9,1818,2,3,1565,8,-1,1069,11,-1,282,9,3,354,11,-1,408,5,-1,350,5,-1,727,7,5,1277,7,-1,1306,10,7,425,3,-1,514,10,-1,131,3,-1,333,5,9,218,9,-1,1323,5,2,240,5,-1,1288,5,-1,1725,11,0,758,7,4,1726,7,6,1672,6,-1,1429,11,0,756,3,-1,865,4,-1,133,9,-1,1868,3,-1,252,9,-1,1499,8,9,792,8,6,1120,7,-1,290,0,-1,1628,5,9,1495,0,-1,473,3,-1,224,3,-1,276,4,8,1416,5,6,82,10,-1,1743,4,3,1256,10,0,257,2,-1,716,3,-1,176,9,-1,536,2,-1,908,7,-1,345,9,-1,905,8,-1,798,4,5,1536,11,9,646,5,-1,50,5,5,253,10,-1,141,10,2,1160,0,-1,499,4,-1,659,1,-1,1928,9,4,1721,11,-1,1988,0,6,468,10,-1,1801,8,-1,49,7,2,1883,8,-1,516,6,1,1148,10,-1,1042,9,0,649,0,5,915,8,3,1146,5,-1,1886,6,-1,287,6,1,1086,4,-1,542,4,2,17,1,9,961,1,3,1169,0,7,753,10,-1,1112,3,-1,1243,9,-1,997,5,-1,1374,6,3,1919,5,-1,1452,5,-1,69,
989,10,-1,512,3,-1,1116,11,1,1004,9,-1,1587,2,-1,447,10,5,737,6,-1,128,11,-1,1078,4,-1,26,9,4,640,7,2,123,3,-1,1993,2,5,1492,9,0,644,5,6,937,5,-1,1190,10,4,1565,8,-1,1069,11,-1,878,10,-1,317,6,-1,1609,5,-1,350,5,-1,1913,5,-1,1608,7,-1,1922,11,-1,425,3,-1,828,11,9,131,3,-1,333,5,9,301,9,-1,1323,5,2,759,3,-1,476,7,7,935,0,-1,758,7,4,1272,4,-1,1672,6,-1,713,6,-1,756,3,-1,865,4,-1,203,1,0,1707,7,-1,252,9,-1,1018,11,5,792,8,6,1120,7,-1,406,3,-1,1628,5,9,592,4,-1,473,3,-1,473,0,4,276,4,8,331,6,-1,1771,7,-1,165,2,-1,266,9,-1,1695,6,-1,1087,0,7,1175,4,-1,536,2,-1,75,1,9,1844,9,3,310,7,1,1142,9,-1,1536,11,9,1607,2,7,135,6,-1,1333,9,4,283,4,0,1160,0,-1,499,4,-1,56,1,0,1167,4,-1,1721,11,-1,600,11,-1,965,11,-1,1769,9,-1,49,7,2,275,0,3,516,6,1,1148,10,-1,1042,9,0,649,0,5,761,4,-1,760,4,-1,91,1,7,238,1,-1,1086,4,-1,1379,7,0,1571,4,4,371,3,0,1647,1,-1,1819,2,6,1112,3,-1,1844,2,-1,1222,4,-1,1641,1,-1,1919,5,-1,995,6,3,18,
1366,9,4,1588,5,-1,1116,11,1,1004,9,-1,1559,4,-1,493,9,4,737,6,-1,1220,10,9,1078,4,-1,1578,3,-1,121,7,2,1146,4,5,1993,2,5,939,8,0,644,5,6,153,10,9,200,3,1,238,4,8,1069,11,-1,1955,2,-1,450,3,-1,1484,9,-1,1568,8,6,1151,0,-1,10,4,-1,1352,5,-1,425,3,-1,828,11,9,131,3,-1,1756,7,7,1649,10,0,1323,5,2,1016,3,5,1288,5,-1,850,0,-1,1895,1,5,803,7,-1,1672,6,-1,454,6,0,632,11,6,1485,5,9,133,9,-1,752,0,-1,1012,1,5,1499,8,9,792,8,6,1120,7,-1,1906,1,-1,1628,5,9,785,0,-1,473,3,-1,1883,0,7,1988,2,-1,812,0,-1,82,10,-1,1743,4,3,1256,10,0,602,8,4,1251,5,1,1175,4,-1,536,2,-1,1794,9,7,660,9,8,1045,8,0,471,3,-1,1327,11,1,176,4,5,812,10,3,1281,0,-1,285,10,5,1160,0,-1,1366,5,6,659,1,-1,852,6,-1,200,3,-1,1457,11,-1,1783,3,-1,1801,8,-1,49,7,2,275,0,3,516,6,1,1069,9,-1,1042,9,0,66,1,-1,915,8,3,760,4,-1,91,1,7,287,6,1,1086,4,-1,542,4,2,1571,4,4,726,4,4,1169,0,7,1284,7,-1,1112,3,-1,110,8,-1,997,5,-1,1641,1,-1,640,10,-1,1272,8,2,7,
389,2,7,1588,5,-1,1116,11,1,639,4,-1,61,4,4,447,10,5,578,5,-1,361,3,-1,178,8,-1,1578,3,-1,968,6,-1,123,3,-1,1680,11,-1,606,5,3,1101,3,-1,153,10,9,1093,6,3,1697,10,4,290,11,9,1593,4,-1,62,1,8,1609,5,-1,1240,9,-1,99,10,6,1287,7,5,1676,10,6,678,3,5,19,10,6,1838,6,5,333,5,9,335,6,-1,1708,1,7,1782,9,5,1306,6,0,321,1,-1,362,4,-1,1859,1,5,453,5,0,1429,11,0,756,3,-1,1814,3,-1,203,2,-1,625,1,8,1012,1,5,530,9,-1,792,8,6,825,7,4,574,8,3,394,5,-1,1101,2,1,1846,3,6,1696,6,-1,190,11,-1,1584,1,5,1502,9,5,179,3,-1,681,5,7,117,6,3,174,9,9,735,8,6,674,8,0,908,7,-1,361,3,-1,310,7,1,1510,3,1,1314,6,-1,769,1,-1,1437,4,-1,1900,5,2,1969,10,-1,1423,11,6,499,4,-1,637,4,8,1928,9,4,465,9,-1,1186,10,-1,894,9,1,1801,8,-1,169,11,-1,275,0,3,1929,6,-1,1148,10,-1,119,5,-1,692,11,8,1700,9,-1,152,9,-1,300,11,3,287,6,1,234,10,9,642,5,-1,97,9,-1,1399,11,-1,255,8,8,185,8,2,1388,1,0,548,0,1,952,9,9,846,6,4,571,4,-1,1272,8,2,46,
953,2,-1,1588,5,-1,1116,11,1,1004,9,-1,1587,2,-1,1889,6,4,737,6,-1,1520,6,-1,1078,4,-1,1578,3,-1,640,7,2,994,10,6,1993,2,5,1389,3,-1,644,5,6,622,2,2,1159,3,5,1016,2,-1,158,7,0,878,10,-1,317,6,-1,1609,5,-1,350,5,-1,727,7,5,1608,7,-1,459,1,2,425,3,-1,828,11,9,131,3,-1,333,5,9,301,9,-1,1148,2,6,759,3,-1,689,0,-1,251,10,-1,1251,11,2,1726,7,6,1672,6,-1,1429,11,0,756,3,-1,865,4,-1,203,1,0,1707,7,-1,1397,6,7,1709,0,-1,792,8,6,1120,7,-1,422,4,-1,1413,2,1,1094,3,4,473,3,-1,473,0,4,276,4,8,331,6,-1,1771,7,-1,1733,6,1,1256,10,0,934,7,-1,1087,0,7,1585,10,-1,536,2,-1,102,8,6,345,9,-1,905,8,-1,798,4,5,1700,7,-1,1607,2,7,812,10,3,778,3,1,285,10,5,1160,0,-1,1037,5,3,407,3,-1,1199,8,3,1721,11,-1,15,9,-1,965,11,-1,1801,8,-1,49,7,2,804,9,-1,516,6,1,415,1,-1,1549,4,-1,649,0,5,761,4,-1,1069,1,7,91,1,7,287,6,1,260,0,-1,1379,7,0,1571,4,4,26,1,-1,1169,0,7,185,8,2,1112,3,-1,1844,2,-1,1222,4,-1,1287,8,-1,1919,5,-1,802,10,-1,75,
1543,9,-1,1588,5,-1,1116,11,1,1004,9,-1,1314,5,-1,364,11,-1,89,6,-1,1755,5,7,1078,4,-1,1578,3,-1,254,8,2,1241,4,-1,1002,11,-1,1183,9,-1,622,2,9,290,4,-1,1322,8,6,437,3,-1,1069,11,-1,1913,7,-1,1062,0,-1,1609,5,-1,1937,3,2,570,4,-1,732,5,8,338,3,7,1411,10,-1,828,11,9,1798,10,6,333,5,9,1414,10,-1,167,7,9,530,5,9,1306,6,0,390,2,8,1861,0,2,274,2,6,1672,6,-1,1429,11,0,1051,8,-1,1818,4,-1,1179,4,7,752,0,-1,252,9,-1,1087,2,-1,792,8,6,948,8,-1,422,4,-1,1628,5,9,1460,0,3,1801,5,4,1760,3,-1,1313,5,-1,331,6,-1,82,10,-1,75,3,8,225,1,-1,1620,4,0,460,9,9,1175,4,-1,1693,2,-1,908,7,-1,1645,3,1,310,7,1,1679,1,9,1182,8,9,176,4,5,1437,4,-1,863,5,-1,747,1,8,546,6,3,811,2,6,1647,11,-1,1256,5,-1,32,8,2,355,6,-1,1387,4,1,200,6,-1,257,10,-1,1306,3,7,1647,6,-1,1663,5,-1,119,5,-1,1474,3,-1,1891,1,8,152,9,-1,734,2,4,287,6,1,538,9,8,1943,2,-1,1571,4,4,951,2,-1,1768,3,2,766,5,9,1418,8,6,1844,2,-1,650,1,7,542,8,6,1595,11,-1,1789,6,1,7,
989,10,-1,1662,7,-1,1116,11,1,1098,7,4,1564,9,-1,447,10,5,737,6,-1,534,1,8,1652,11,-1,1578,3,-1,121,7,2,1816,4,8,1993,2,5,1973,0,3,1437,8,0,1556,1,-1,1765,4,-1,74,1,7,1069,11,-1,1955,2,-1,354,11,-1,805,2,-1,456,1,8,727,7,5,1279,7,0,1166,9,-1,425,3,-1,828,11,9,1798,10,6,333,5,9,654,1,-1,1323,5,2,627,4,4,476,7,7,1395,9,0,279,6,-1,1700,8,0,672,0,-1,1429,11,0,1321,9,1,1109,6,1,1835,10,-1,1759,7,-1,66,0,9,397,1,5,934,3,5,391,9,8,687,3,-1,1628,5,9,877,3,1,286,10,9,224,3,-1,1776,8,1,331,6,-1,82,10,-1,2,4,-1,1803,3,2,409,2,-1,1287,8,-1,735,8,6,1070,1,2,908,7,-1,1997,1,8,59,4,7,878,4,-1,1419,5,-1,176,4,5,1793,4,2,12,11,-1,285,10,5,561,10,-1,1,0,-1,402,2,-1,1837,4,-1,992,11,-1,1149,1,-1,1886,8,5,1801,8,-1,49,7,2,275,0,3,511,8,-1,1148,10,-1,1710,10,4,440,2,6,1603,7,1,1229,0,6,1443,4,1,287,6,1,1729,8,-1,542,4,2,171,4,-1,931,11,1,841,4,-1,384,10,4,844,6,4,671,9,-1,810,7,-1,1641,1,-1,110,7,7,1048,7,4,7,
